Wavenumber,Intensity
650.4205,2.389751
652.2841,2.951549
654.1478,2.707831
656.0115,2.351706
657.8751,2.349921
659.7388,2.804057
661.6025,3.387326
663.4661,3.123291
665.3298,2.628892
667.1935,2.678386
669.0571,2.840597
670.9208,3.010122
672.7845,3.074366
674.6481,2.634421
676.5118,2.528669
678.3755,2.798650
680.2392,2.852304
682.1028,2.645320
683.9665,2.812398
685.8302,2.881487
687.6938,2.946145
689.5575,2.912986
691.4212,2.767381
693.2848,2.571388
695.1485,2.571279
697.0122,2.494032
698.8758,2.403810
700.7395,2.634004
702.6032,2.691046
704.4669,2.636027
706.3305,2.609174
708.1942,2.636111
710.0579,2.736056
711.9215,2.720041
713.7852,2.840192
715.6489,3.061177
717.5125,3.044095
719.3762,2.890307
721.2399,3.051606
723.1035,3.101081
724.9672,3.070828
726.8309,2.987585
728.6945,2.953377
730.5582,3.131404
732.4219,3.294618
734.2856,3.071170
736.1492,2.910507
738.0129,3.038340
739.8766,3.300810
741.7402,3.256572
743.6039,3.121719
745.4676,3.209175
747.3312,3.238210
749.1949,3.183551
751.0586,3.283807
752.9222,3.329082
754.7859,3.493376
756.6496,3.680224
758.5132,3.508559
760.3769,3.310568
762.2406,3.301348
764.1043,3.247525
765.9679,3.298843
767.8316,3.470094
769.6953,3.475479
771.5589,3.336663
773.4226,3.529024
775.2863,3.818945
777.1499,3.873176
779.0136,3.731233
780.8773,3.631754
782.7409,3.606589
784.6046,3.486948
786.4683,3.316096
788.3320,3.286096
790.1956,3.350529
792.0593,3.372171
793.9230,3.281446
795.7866,3.261432
797.6503,3.279267
799.5140,3.216108
801.3776,2.971034
803.2413,2.699905
805.1050,2.658691
806.9686,2.783346
808.8323,2.686111
810.6960,2.501402
812.5596,2.502659
814.4233,2.710184
816.2870,3.018420
818.1507,3.096504
820.0143,3.012411
821.8780,3.021615
823.7417,3.008645
825.6053,3.102121
827.4690,3.276966
829.3327,3.291112
831.1963,3.193965
833.0600,3.221804
834.9237,3.282553
836.7873,3.353839
838.6510,3.405196
840.5147,3.517863
842.3784,3.634313
844.2420,3.713872
846.1057,3.714228
847.9694,3.738113
849.8330,3.862716
851.6967,3.910287
853.5604,3.937016
855.4240,4.001356
857.2877,4.032397
859.1514,4.095660
861.0150,4.127647
862.8787,4.095371
864.7424,4.138326
866.6060,4.221268
868.4697,4.212249
870.3334,4.248509
872.1971,4.229681
874.0607,4.200327
875.9244,4.274747
877.7881,4.317997
879.6517,4.324043
881.5154,4.414088
883.3791,4.525763
885.2427,4.609283
887.1064,4.653248
888.9701,4.694213
890.8337,4.721152
892.6974,4.683470
894.5611,4.657055
896.4247,4.672988
898.2884,4.666171
900.1521,4.648109
902.0158,4.658266
903.8794,4.615316
905.7431,4.543580
907.6068,4.545833
909.4704,4.565967
911.3341,4.575743
913.1978,4.502004
915.0614,4.381781
916.9251,4.349515
918.7888,4.375601
920.6524,4.330372
922.5161,4.232690
924.3798,4.166849
926.2435,4.181617
928.1071,4.240993
929.9708,4.259731
931.8345,4.205498
933.6981,4.164601
935.5618,4.209752
937.4255,4.270504
939.2891,4.276431
941.1528,4.299806
943.0165,4.336174
944.8801,4.374410
946.7438,4.431145
948.6075,4.533634
950.4711,4.682670
952.3348,4.774828
954.1985,4.844474
956.0622,4.944368
957.9258,4.996242
959.7895,5.042138
961.6532,5.180486
963.5168,5.337125
965.3805,5.399600
967.2442,5.433311
969.1078,5.500460
970.9715,5.575589
972.8352,5.669187
974.6988,5.760744
976.5625,5.836892
978.4262,5.889938
980.2899,5.926147
982.1535,5.999903
984.0172,6.089469
985.8809,6.135762
987.7445,6.175884
989.6082,6.246294
991.4719,6.333967
993.3355,6.434671
995.1992,6.531665
997.0629,6.634534
998.9265,6.719790
1000.7902,6.820766
1002.6539,6.957908
1004.5175,7.085840
1006.3812,7.220936
1008.2449,7.297330
1010.1086,7.324668
1011.9722,7.398906
1013.8359,7.469129
1015.6996,7.533997
1017.5632,7.654708
1019.4269,7.766722
1021.2906,7.834395
1023.1542,7.957362
1025.0179,8.170394
1026.8816,8.418836
1028.7452,8.645411
1030.6089,8.868461
1032.4726,9.129450
1034.3362,9.375310
1036.1999,9.608470
1038.0636,9.849957
1039.9273,10.060670
1041.7909,10.229249
1043.6546,10.328176
1045.5183,10.365753
1047.3819,10.365900
1049.2456,10.342997
1051.1093,10.280028
1052.9729,10.135169
1054.8366,9.983516
1056.7003,9.851890
1058.5639,9.694980
1060.4276,9.618121
1062.2913,9.658369
1064.1550,9.757701
1066.0186,9.868715
1067.8823,9.940627
1069.7460,10.019633
1071.6096,10.112928
1073.4733,10.171579
1075.3370,10.247469
1077.2006,10.344178
1079.0643,10.452494
1080.9280,10.559394
1082.7916,10.631891
1084.6553,10.696756
1086.5190,10.784108
1088.3826,10.891426
1090.2463,10.954274
1092.1100,10.964784
1093.9737,10.997841
1095.8373,11.048101
1097.7010,11.079250
1099.5647,11.077890
1101.4283,11.050970
1103.2920,11.014875
1105.1557,10.939562
1107.0193,10.848048
1108.8830,10.775359
1110.7467,10.710357
1112.6103,10.698543
1114.4740,10.780451
1116.3377,10.917366
1118.2014,11.068063
1120.0650,11.241344
1121.9287,11.395521
1123.7924,11.494002
1125.6560,11.593931
1127.5197,11.703382
1129.3834,11.769204
1131.2470,11.812781
1133.1107,11.863063
1134.9744,11.880039
1136.8380,11.876390
1138.7017,11.848503
1140.5654,11.796524
1142.4290,11.728029
1144.2927,11.609749
1146.1564,11.425383
1148.0201,11.194464
1149.8837,10.967877
1151.7474,10.670939
1153.6111,10.194766
1155.4747,9.607507
1157.3384,9.093253
1159.2021,8.812101
1161.0657,8.901970
1162.9294,9.293031
1164.7931,9.708864
1166.6567,9.994630
1168.5204,10.133329
1170.3841,10.143143
1172.2477,10.091406
1174.1114,9.974751
1175.9751,9.817270
1177.8388,9.698993
1179.7024,9.589496
1181.5661,9.428080
1183.4298,9.269342
1185.2934,9.165157
1187.1571,9.079270
1189.0208,8.963727
1190.8844,8.843397
1192.7481,8.778269
1194.6118,8.732607
1196.4754,8.668455
1198.3391,8.623084
1200.2028,8.620331
1202.0665,8.646817
1203.9301,8.680936
1205.7938,8.692669
1207.6575,8.718706
1209.5211,8.760898
1211.3848,8.782816
1213.2485,8.872885
1215.1121,8.973083
1216.9758,8.977432
1218.8395,8.999270
1220.7031,9.003946
1222.5668,8.957516
1224.4305,8.900683
1226.2941,8.756117
1228.1578,8.545137
1230.0215,8.306505
1231.8852,8.074803
1233.7488,7.844008
1235.6125,7.613921
1237.4762,7.395175
1239.3398,7.158053
1241.2035,6.965954
1243.0672,6.829803
1244.9308,6.646619
1246.7945,6.452826
1248.6582,6.313108
1250.5218,6.193603
1252.3855,6.043781
1254.2492,5.899177
1256.1129,5.779109
1257.9765,5.606172
1259.8402,5.405269
1261.7039,5.246962
1263.5675,5.090670
1265.4312,4.914269
1267.2949,4.768949
1269.1585,4.670430
1271.0222,4.594728
1272.8859,4.510694
1274.7495,4.453067
1276.6132,4.407565
1278.4769,4.342835
1280.3405,4.286466
1282.2042,4.264352
1284.0679,4.256977
1285.9316,4.278307
1287.7952,4.280697
1289.6589,4.246674
1291.5226,4.230960
1293.3862,4.220902
1295.2499,4.193226
1297.1136,4.129369
1298.9772,4.094463
1300.8409,4.082715
1302.7046,4.084359
1304.5682,4.095766
1306.4319,4.051311
1308.2956,3.980444
1310.1592,3.918891
1312.0229,3.904036
1313.8866,3.895361
1315.7503,3.863235
1317.6139,3.854842
1319.4776,3.852374
1321.3413,3.816090
1323.2049,3.780455
1325.0686,3.741825
1326.9323,3.716034
1328.7959,3.708625
1330.6596,3.645635
1332.5233,3.628725
1334.3869,3.676268
1336.2506,3.682915
1338.1143,3.652798
1339.9780,3.598715
1341.8416,3.549753
1343.7053,3.530091
1345.5690,3.500654
1347.4326,3.478515
1349.2963,3.441010
1351.1600,3.421317
1353.0236,3.437744
1354.8873,3.416634
1356.7510,3.371155
1358.6146,3.337199
1360.4783,3.298922
1362.3420,3.265136
1364.2056,3.242257
1366.0693,3.215541
1367.9330,3.172897
1369.7967,3.148599
1371.6603,3.126102
1373.5240,3.105714
1375.3877,3.091799
1377.2513,3.070233
1379.1150,3.035610
1380.9787,3.025312
1382.8423,3.055916
1384.7060,3.035741
1386.5697,3.003174
1388.4333,3.005742
1390.2970,3.020317
1392.1607,3.048799
1394.0244,3.021240
1395.8880,2.993453
1397.7517,2.992725
1399.6154,3.015460
1401.4790,3.065982
1403.3427,3.099179
1405.2064,3.104693
1407.0700,3.143051
1408.9337,3.208546
1410.7974,3.191850
1412.6610,3.152408
1414.5247,3.197488
1416.3884,3.236309
1418.2520,3.184166
1420.1157,3.129420
1421.9794,3.123094
1423.8431,3.116377
1425.7067,3.095068
1427.5704,3.074875
1429.4341,3.081534
1431.2977,3.073872
1433.1614,3.057049
1435.0251,3.061825
1436.8887,3.039917
1438.7524,3.026898
